"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
44701,"8-(Methylamino)-5,6,7,8-tetrahydronaphthalene-1,2-diol--hydrogen iodide (1/1)","C11H16INO2","C[NH2+]C1CCCC2=C1C(=C(C=C2)O)O.[I-]",321.15
44702,"8-(Methylamino)-5,6,7,8-tetrahydronaphthalene-1,2-diol","C11H15NO2","CNC1CCCC2=C1C(=C(C=C2)O)O",193.24
44703,"2-(2-Ethyl-7-methoxy-1-methyl-1,2,3,4-tetrahydronaphthalen-1-yl)-N,N-dimethylethan-1-amine--hydrogen chloride (1/1)","C18H30ClNO","CCC1CCC2=C(C1(C)CC[NH+](C)C)C=C(C=C2)OC.[Cl-]",311.9
44704,"2-(2-ethyl-7-methoxy-1-methyl-3,4-dihydro-2H-naphthalen-1-yl)-N,N-dimethylethanamine","C18H29NO","CCC1CCC2=C(C1(C)CCN(C)C)C=C(C=C2)OC",275.4
44705,"1-Naphthaleneethylamine, 1,2,3,4-tetrahydro-N,N-dimethyl-7-methoxy-1-propyl-, hydrochloride","C18H30ClNO","CCCC1(CCCC2=C1C=C(C=C2)OC)CC[NH+](C)C.[Cl-]",311.9
44706,"2-(7-methoxy-1-propyl-3,4-dihydro-2H-naphthalen-1-yl)-N,N-dimethylethanamine","C18H29NO","CCCC1(CCCC2=C1C=C(C=C2)OC)CCN(C)C",275.4
44707,"N,N-Dimethyl-2-(1-methyl-1,2,3,4-tetrahydronaphthalen-1-yl)ethan-1-amine--hydrogen chloride (1/1)","C15H24ClN","CC1(CCCC2=CC=CC=C21)CC[NH+](C)C.[Cl-]",253.81
44708,"N,N-Dimethyl-2-(1-methyl-1,2,3,4-tetrahydronaphthalen-1-yl)ethan-1-amine","C15H23N","CC1(CCCC2=CC=CC=C21)CCN(C)C",217.35
44709,"2-(7-Methoxy-1,2-dimethyl-1,2,3,4-tetrahydronaphthalen-1-yl)-N,N-dimethylethan-1-amine--hydrogen bromide (1/1)","C17H28BrNO","CC1CCC2=C(C1(C)CC[NH+](C)C)C=C(C=C2)OC.[Br-]",342.3
44710,"2-(7-methoxy-1,2-dimethyl-3,4-dihydro-2H-naphthalen-1-yl)-N,N-dimethylethanamine","C17H27NO","CC1CCC2=C(C1(C)CCN(C)C)C=C(C=C2)OC",261.4
44711,"1-Naphthaleneethylamine, 1,2,3,4-tetrahydro-N,N,1,2-tetramethyl-, hydrochloride","C16H26ClN","CC1CCC2=CC=CC=C2C1(C)CC[NH+](C)C.[Cl-]",267.84
44712,"2-(1,2-Dimethyl-1,2,3,4-tetrahydronaphthalen-1-yl)-N,N-dimethylethan-1-amine","C16H25N","CC1CCC2=CC=CC=C2C1(C)CCN(C)C",231.38
44713,"alpha-(Dimethylaminomethyl)-7-methoxy-1-naphthalenemethanol","C15H19NO2","CN(C)CC(C1=CC=CC2=C1C=C(C=C2)OC)O",245.32
44714,"7-Methoxy-alpha-(piperidinomethyl)-1-naphthalenemethanol","C18H23NO2","COC1=CC2=C(C=CC=C2C(CN3CCCCC3)O)C=C1",285.4
44715,"alpha-(Piperidinomethyl)-1-naphthalenemethanol","C17H21NO","C1CCN(CC1)CC(C2=CC=CC3=CC=CC=C32)O",255.35
44716,"1-Naphthalenemethanol, 1,2,3,4-tetrahydro-1-amino-5-methoxy-, hydrochloride","C12H18ClNO2","COC1=CC=CC2=C1CCCC2C([NH3+])O.[Cl-]",243.73
44717,"Amino-(5-methoxy-1,2,3,4-tetrahydronaphthalen-1-yl)methanol","C12H17NO2","COC1=CC=CC2=C1CCCC2C(N)O",207.27
44718,"(6-Chloro-5-methoxy-1,2,3,4-tetrahydronaphthalen-1-yl)(dimethylamino)methanol--hydrogen bromide (1/1)","C14H21BrClNO2","C[NH+](C)C(C1CCCC2=C1C=CC(=C2OC)Cl)O.[Br-]",350.68
