"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
1,"Acetyl-DL-carnitine","C9H17NO4","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C",203.24
2,"2-(Acetyloxy)-3-carboxy-N,N,N-trimethylpropan-1-aminium","C9H18NO4+","CC(=O)OC(CC(=O)O)C[N+](C)(C)C",204.24
3,"5,6-Dihydroxycyclohexa-1,3-diene-1-carboxylic acid","C7H8O4","C1=CC(C(C(=C1)C(=O)O)O)O",156.14
4,"1-Amino-2-propanol","C3H9NO","CC(CN)O",75.11
5,"3-Amino-2-oxopropyl phosphate","C3H8NO5P","C(C(=O)COP(=O)(O)O)N",169.07
6,"1-Chloro-2,4-Dinitrobenzene","C6H3ClN2O4","C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl",202.55
7,"9-Ethyladenine","C7H9N5","CCN1C=NC2=C(N=CN=C21)N",163.18
8,"4,5-Dideoxy-3-C-methylpentonic acid","C6H12O4","CCC(C)(C(C(=O)O)O)O",148.16
9,"Inositol, 1-(dihydrogen phosphate)","C6H13O9P","C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O",260.14
10,"","C20H23N7O7","C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O",473.4
11,"1,2-Dichloroethane","C2H4Cl2","C(CCl)Cl",98.96
12,"1,2,3,5-Tetrahydroxybenzene","C6H6O4","C1=C(C=C(C(=C1O)O)O)O",142.11
13,"1,2,4-Trichlorobenzene","C6H3Cl3","C1=CC(=C(C=C1Cl)Cl)Cl",181.4
14,"7-(3-Hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl)heptanoic acid","C20H32O5","CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O",352.5
15,"17-Hydroxyandrostan-3-one","C19H30O2","CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C",290.4
16,"1,8-Diazacyclotetradecane-2,9-dione","C12H22N2O2","C1CCC(=O)NCCCCCC(=O)NCC1",226.32
17,"2,3-Dihydro-2,6-pyridinedicarboxylic acid","C7H7NO4","C1C=CC(=NC1C(=O)O)C(=O)O",169.13
18,"2,3-dioxo-L-gulonic","C6H8O7","C(C(C(C(=O)C(=O)C(=O)O)O)O)O",192.12
19,"2,3-Dihydroxybenzoic Acid","C7H6O4","C1=CC(=C(C(=C1)O)O)C(=O)O",154.12
20,"2,3-Dihydroxybenzenepropanoic acid","C9H10O4","C1=CC(=C(C(=C1)O)O)CCC(=O)O",182.17
21,"2-Ethyl-2-hydroxy-3-oxobutanoic acid","C6H10O4","CCC(C(=O)C)(C(=O)O)O",146.14
22,"2-Acetolactate","C5H8O4","CC(=O)C(C)(C(=O)O)O",132.11
23,"2-Amino-3-(3-oxo-1-propen-1-yl)-2-butenedioic acid","C7H7NO5","C(=CC(=C(C(=O)O)N)C(=O)O)C=O",185.13
24,"2-Amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one","C9H17N5O8","C(C(C(C1(C(N(C2C(N1O)C(=O)NC(=N2)N)O)O)O)O)O)O",323.26
25,"","C9H15N5O6","C(C(C(C1C(N(C2=C(N1)C(=O)N=C(N2)N)O)O)O)O)O",289.25
26,"1-(2-Amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione","C9H11N5O5","CC(=O)C(=O)C1=NC2C(N=C(NC2=O)N)N(C1O)O",269.21
27,"","C9H16N5O15P3","C(C(C(C1=NC2=C(NC(=NC2=O)N)N(C1O)O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O",527.17
28,"2,4-Hexadienedioicacid, 2-amino-","C6H7NO4","C(=CC(=O)O)C=C(C(=O)O)N",157.12
29,"2-Amino-3-oxopropionic acid","C3H5NO3","C(=O)C(C(=O)O)N",103.08
30,"2-Amino-6-oxo-2,4-hexadienoic acid","C6H7NO3","C(=CC=O)C=C(C(=O)O)N",141.12
31,"(2,3,4-Trihydroxy-3-methylbutyl) dihydrogen phosphate","C5H13O7P","CC(CO)(C(COP(=O)(O)O)O)O",216.13
32,"1,3-Butadiene-1,1,4-tricarboxylic acid","C7H6O6","C(=CC(=O)O)C=C(C(=O)O)C(=O)O",186.12
33,"Chloroacetaldehyde","C2H3ClO","C(C=O)Cl",78.50
34,"2-Chloroethanol","C2H5ClO","C(CCl)O",80.51
