"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
5284371,"Codeine","C18H21NO3","CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O",299.4
5284616,"Sirolimus","C51H79NO13","CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC",914.2
5281,"Stearic Acid","C18H36O2","CCCCCCCCCCCCCCCCCC(=O)O",284.5
3345,"Fentanyl","C22H28N2O","CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3",336.5
2244,"Aspirin","C9H8O4","CC(=O)OC1=CC=CC=C1C(=O)O",180.16
1983,"Acetaminophen","C8H9NO2","CC(=O)NC1=CC=C(C=C1)O",151.16
3672,"Ibuprofen, (+-)-","C13H18O2","CC(C)CC1=CC=C(C=C1)C(C)C(=O)O",206.28
5793,"D-Glucose","C6H12O6","C(C1C(C(C(C(O1)O)O)O)O)O",180.16
2519,"Caffeine","C8H10N4O2","CN1C=NC2=C1C(=O)N(C(=O)N2C)C",194.19
4485,"Nifedipine","C17H18N2O6","CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC",346.3
6022,"5'-Adp","C10H15N5O10P2","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N",427.20
6057,"L-Tyrosine","C9H11NO3","C1=CC(=CC=C1CC(C(=O)O)N)O",181.19
5816,"Epinephrine","C9H13NO3","CNCC(C1=CC(=C(C=C1)O)O)O",183.20
5202,"Serotonin","C10H12N2O","C1=CC2=C(C=C1O)C(=CN2)CCN",176.21
3386,"Fluoxetine","C17H18F3NO","CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F",309.33
123,"Tiformin","C5H12N4O","C(CC(=O)N)CN=C(N)N",144.18
5957,"5'-Atp","C10H16N5O13P3","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N",507.18
5862,"L-(+)-Cysteine","C3H7NO2S","C(C(C(=O)O)N)S",121.16
6137,"L-Methionine","C5H11NO2S","CSCCC(C(=O)O)N",149.21
6106,"L-Leucine","C6H13NO2","CC(C)CC(C(=O)O)N",131.17
6305,"L-Tryptophan","C11H12N2O2","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N",204.22
750,"Glycine","C2H5NO2","C(C(=O)O)N",75.07
5961,"L-Glutamine","C5H10N2O3","C(CC(=O)N)C(C(=O)O)N",146.14
6274,"L-Histidine","C6H9N3O2","C1=C(NC=N1)CC(C(=O)O)N",155.15
5950,"L-Alanine","C3H7NO2","CC(C(=O)O)N",89.09
5951,"L-Serine","C3H7NO3","C(C(C(=O)O)N)O",105.09
6267,"(-)-Asparagine","C4H8N2O3","C(C(C(=O)O)N)C(=O)N",132.12
5960,"L-Aspartic Acid","C4H7NO4","C(C(C(=O)O)N)C(=O)O",133.10
6288,"L-Threonine","C4H9NO3","CC(C(C(=O)O)N)O",119.12
