id,x,y,z,vx,vy,vz,energy,frequency,phase,spin
7665,-45.2259,-5.4176,83.4090,0.079402,-9.123581,4.177060,2.5620,1.5000,5.2935,1
5305,82.4653,-38.6117,0.7886,0.484998,-2.123222,1.929432,2.1624,0.6660,6.1148,-1
781,188.3674,65.9233,-27.5841,19.872673,9.392183,-6.862683,1.3024,1.5000,5.2912,-1
3066,101.9050,-1.0273,-75.3082,3.444495,-5.716602,-0.881976,2.1044,1.0000,1.0851,1
7179,-39.7552,-86.4186,136.6658,0.185224,-11.110678,15.341376,2.1522,1.0000,4.6961,-1
8616,12.6687,126.0905,25.3253,-1.331255,14.957561,9.846936,1.0361,1.6180,4.8046,1
285,108.8038,-45.0346,-166.6423,1.350579,-2.075092,-6.630266,1.2143,1.6180,0.5448,1
2701,-66.8155,198.1330,1.6397,-0.471214,8.923240,3.059280,1.8495,0.5000,3.5803,1
6372,-257.7295,-38.0849,147.3706,-14.155953,-1.967365,6.059092,2.3870,1.6180,5.7905,-1
6494,-101.7258,121.6119,-84.6415,-8.214255,3.518055,-1.568865,1.8286,1.3330,3.0626,-1
4530,-26.4532,-167.6028,-202.9761,-2.913123,-9.988282,-7.936488,2.6417,1.5000,3.0718,1
8243,98.9112,-55.5987,193.7355,5.223831,1.935611,8.622436,1.4331,1.0000,2.1862,1
2133,383.0313,-92.6761,184.6138,21.464421,-8.135310,11.566572,1.1732,2.0000,3.1644,-1
7591,114.6110,-143.6565,170.8095,6.022669,-3.968305,11.435524,2.5117,1.5000,2.1499,-1
3561,-59.9500,95.2262,-74.6233,9.241141,-8.371252,3.789565,1.3878,0.5000,3.6197,-1
1555,43.0995,0.2072,-8.7988,17.672347,-6.009099,5.465478,0.7460,1.5000,0.0507,-1
7510,27.8419,19.1265,9.0758,15.169217,10.465813,-5.823680,2.7249,1.3330,5.9190,-1
9004,-56.2612,-236.3899,-316.6250,1.672501,3.403139,5.937140,2.6333,1.5000,2.7175,1
1708,-115.2440,81.1715,176.8246,-6.913611,10.115757,13.842823,3.1003,1.5000,2.7140,1
7355,114.8098,100.9343,-32.4117,-7.368885,-9.544040,-4.670807,3.4730,0.5000,4.2819,-1
159301,-9.5143,-12.1314,-15.6541,2.663610,-4.485303,-1.030560,226.6322,0.6660,2.7523,-1
6954,29.7016,19.6281,-19.1090,17.748092,-6.434473,-4.244373,1.7331,1.3330,3.5838,-1
6875,8.7075,-4.2217,77.5833,2.364633,3.056580,19.688408,0.6675,1.3330,0.3704,-1
9761,31.1741,128.3600,163.9897,0.877907,-5.456807,-9.485300,2.5096,0.5000,0.3018,-1
4005,62.3559,-57.2100,-143.3471,7.042866,-2.608028,-3.797110,2.5395,1.3330,4.6424,1
4336,21.9405,42.8304,-37.1060,13.307565,10.621482,3.811060,1.7238,2.0000,0.3676,-1
3087,-73.4500,-5.7631,84.0875,-4.957745,-5.722870,9.527086,1.1983,0.5000,6.2718,-1
5691,64.6655,42.5282,113.6289,1.834502,10.940255,16.680370,3.0539,1.5000,1.2488,1
2904,129.6276,-10.0078,-29.2039,20.657341,-2.512039,-6.735854,3.4001,1.3330,0.3417,1
7073,-187.1914,-106.7599,-111.3779,-16.229858,-8.567357,-9.990800,1.6276,2.0000,3.2270,-1
8244,-23.5149,54.9320,41.8603,1.973098,-16.216309,-0.375953,2.9089,0.6660,0.5213,1
9932,111.5074,86.0500,159.7746,10.929438,8.870016,17.334712,1.0596,2.0000,6.0909,1
188,-41.6850,81.1619,40.9703,-9.776644,15.333937,7.773867,1.8082,0.5000,0.2648,1
1687,200.5684,-70.7572,125.6198,8.378846,-4.735167,9.260145,1.5698,1.5000,0.1327,1
156788,-240.9831,103.3347,34.1612,-23.235725,8.771734,1.404807,181.6115,1.5000,4.5191,-1
2025,-210.4127,93.5425,74.0069,-18.770554,11.360056,6.708487,1.8506,1.3330,2.9745,1
6511,6.7994,-3.2559,-20.1251,7.775233,10.653823,-13.887283,1.5627,1.6180,4.2099,1
4770,-1.4235,-14.7002,1.8501,8.688449,11.544479,11.905126,2.5606,1.3330,0.9635,1
1599,101.7907,59.1380,46.9365,-7.783812,-10.861726,-4.268232,0.7667,2.0000,3.1474,1
3855,28.4274,-91.3065,30.1737,8.001668,-0.340598,-2.273826,1.2267,1.6180,3.3706,-1
5982,106.2958,82.1110,-99.7613,6.804039,-1.955311,-5.859745,0.8953,1.3330,4.0951,1
291,209.7477,47.4003,-63.0419,8.311657,3.912612,1.200128,2.1622,1.3330,4.3241,1
2038,-7.2772,108.4344,81.9027,2.226578,6.261396,-2.689384,3.2439,0.5000,5.5810,1
5508,-98.5034,41.6583,-35.6108,-17.784790,4.076989,-9.650993,1.9797,1.5000,3.9017,-1
2048,-46.9668,110.7654,62.9271,-1.427627,8.538120,-3.311468,0.9037,0.6660,0.7534,-1
6746,127.0777,114.9588,-107.2333,5.669780,8.233617,-7.144182,0.8239,0.6660,0.2680,-1
7701,-208.7132,41.4925,-105.0654,-8.764779,3.514571,-8.618777,1.5175,1.6180,2.1023,-1
9513,5.3826,116.7833,86.1088,1.985506,14.444498,13.957491,0.7278,1.5000,0.5070,-1
7928,232.1390,-185.9343,44.8191,25.761072,-26.320315,7.795675,3.2902,0.5000,5.4916,1
